"Platform Client ID","Account Name","Created Date","Account Owner","CS Insight: CS Insights Name","CS Insight: Record Type","Feedback directed to"
"CL002239","Moventi","3/10/2022","Giuliana Fontes","CSI-0000041","Client Feedback","Product"
"CL005109","CodersLab","12/20/2023","Samuel Jimenez","CSI-0000042","Client Feedback","Financial Services"
"CL004634","grintahub.com","10/3/2023","Automated Essentials","CSI-0000044","Client Feedback","Product"
"CL004710","fundo.com","5/18/2023","Lucas Arenas","CSI-0000049","Client Feedback","Product"
"CL004086","AB-Inbev","7/1/2022","Lucas Arenas","CSI-0000050","Client Feedback","EOR"
"CL005252","XPANTION","1/28/2022","Automated Essentials","CSI-0000052","Client Feedback","Product"
"CL004094","EMS Employee Mobility Solutions","1/20/2023","Karoll Cabrera","CSI-0000054","Client Feedback","Customer Success"
"CL002344","Infuy","9/15/2021","Giuliana Fontes","CSI-0000056","Client Feedback","Product"
"CL003323","Multiverz","2/11/2022","Automated Essentials","CSI-0000058","Client Feedback","Product"
"CL001117","Tech And Solve HQ","10/24/2021","Giuliana Fontes","CSI-0000064","Client Feedback","Customer Success"
"CL003637","RegioHelden GmbH","9/28/2022","Automated Essentials","CSI-0000071","Client Feedback","Product"
"CL004228","Junior Golf Preparatory Academy LLC","2/3/2023","Automated Essentials","CSI-0000073","Client Feedback","Product"
"CL004748","nutrico.io","10/17/2023","Karoll Cabrera","CSI-0000081","Client Feedback","Customer Success"
"CL005068","Mercately","5/26/2022","Joaquin Rocchietti","CSI-0000083","Client Feedback","Customer Success"
"CL005013","Tactic Systems","5/2/2023","Automated Essentials","CSI-0000085","Client Feedback","Product"
"CL004973","Virtual Assistance Latin America LLC","2/16/2022","Alejandra Arroyo","CSI-0000086","Client Feedback","Product"
"CL003862","Iridian Consulting","11/25/2022","Automated Essentials","CSI-0000090","Client Feedback","Customer Success"
"CL003990","Scott Pryor Law","12/13/2022","Giuliana Fontes","CSI-0000092","Client Feedback","Product"
"CL004452","GoFeels","6/26/2023","Automated Essentials","CSI-0000095","Client Feedback","Product"
"CL005264","TAC","3/10/2022","Lucas Arenas","CSI-0000096","Client Feedback","Product"
